Angestellter;Janet Mude;1963;1999
Freelancer;Bertha Roht;1972;1990;92.65;23
Angestellter;Ann-Kathrin Matthäi;1975;2025
Freelancer;Cetin Etzler;1983;2024;132.62;37
Freelancer;Attila Mans;1986;2013;70.09;26
Freelancer;Hans-Adolf Herrmann;1995;2020;126.1;37
Freelancer;Ingmar Scholz;2003;2025;149.89;33
Angestellter;Marian Gehringer;1999;2020
Freelancer;Aleksandar Bolander;1985;2010;69.56;25
Angestellter;Tibor Fröhlich;1990;2023
Angestellter;Svetlana Harloff;1961;1994
Freelancer;Ellen Siering;1975;2013;57.04;20
Freelancer;Wladimir Wirth;2002;2023;109.24;15
Freelancer;Ursula Caspar;1990;2022;82.92;9
Angestellter;Kirsten Jacob;1964;1995
Angestellter;Kirsten Thomas;1964;1995
