Angestellter;Anna Berger;1984;2010
Freelancer;Lukas Huber;1992;2021;95.50;28
Arzt;Maria Gruber;1978;2008;38;6200.00
Angestellter;David Steiner;1990;2016
Freelancer;Sophie Wagner;1987;2019;88.00;32
Arzt;Thomas Hofer;1969;2001;40;7400.00
Angestellter;Julia Pichler;1998;2022
Freelancer;Maximilian Leitner;1995;2020;102.75;24
Arzt;Katharina Eder;1981;2012;36;6800.00
Angestellter;Florian Moser;1976;2003
Freelancer;Nina Wallner;1993;2024;76.40;18
Arzt;Sebastian Fink;1985;2015;42;7100.00
Angestellter;Petra Koller;1988;2014
Freelancer;Daniel Auer;1979;2011;110.00;30
Arzt;Claudia Mayr;1974;2006;35;6550.00
Angestellter;Markus Haas;1997;2023
Freelancer;Eva Lindner;1986;2018;91.25;26
Arzt;Martin Schmid;1980;2009;37;6900.00
Angestellter;Sabine Kraus;1971;1998
Freelancer;Paul Richter;1991;2017;84.90;34
Arzt;Sandra Ortner;1983;2013;39;7050.00
Angestellter;Tobias Kern;1999;2024
Freelancer;Leonie Bauer;1996;2022;79.50;21
Arzt;Harald Winkler;1977;2004;41;7350.00
Angestellter;Verena Albrecht;1982;2011
Freelancer;Jonas Seidl;1989;2016;98.30;27
Arzt;Birgit Neumann;1970;1999;34;6400.00
Angestellter;Michael Dorn;1994;2020
Freelancer;Helena Graf;1984;2014;105.60;29
Arzt;Georg Winter;1975;2007;40;7200.00
